distance,orientation,vel_lin,vel_ang
0.000,-1.571,1.750,-3.936
0.000,-1.561,1.750,-3.936
0.000,-1.551,1.750,-3.936
0.000,-1.541,1.750,-3.936
0.000,-1.531,1.750,-3.936
0.000,-1.521,1.750,-3.935
0.000,-1.511,1.750,-3.935
0.000,-1.501,1.750,-3.935
0.000,-1.491,1.750,-3.935
0.000,-1.481,1.750,-3.934
0.000,-1.471,1.750,-3.933
0.000,-1.461,1.750,-3.932
0.000,-1.451,1.750,-3.931
0.000,-1.441,1.750,-3.930
0.000,-1.431,1.750,-3.928
0.000,-1.421,1.750,-3.926
0.000,-1.411,1.750,-3.923
0.000,-1.401,1.750,-3.920
0.000,-1.391,1.750,-3.917
0.000,-1.381,1.750,-3.913
0.000,-1.371,1.750,-3.908
0.000,-1.361,1.750,-3.903
0.000,-1.351,1.750,-3.898
0.000,-1.341,1.750,-3.892
0.000,-1.331,1.750,-3.885
0.000,-1.321,1.750,-3.878
0.000,-1.311,1.750,-3.871
0.000,-1.301,1.750,-3.862
0.000,-1.291,1.750,-3.854
0.000,-1.281,1.750,-3.844
0.000,-1.271,1.750,-3.835
0.000,-1.261,1.750,-3.824
0.000,-1.251,1.749,-3.814
0.000,-1.241,1.749,-3.802
0.000,-1.231,1.749,-3.790
0.000,-1.221,1.749,-3.778
0.000,-1.211,1.749,-3.765
0.000,-1.201,1.749,-3.752
0.000,-1.191,1.749,-3.738
0.000,-1.181,1.748,-3.724
0.000,-1.171,1.748,-3.730
0.000,-1.161,1.748,-3.744
0.000,-1.151,1.748,-3.758
0.000,-1.141,1.748,-3.771
0.000,-1.131,1.748,-3.784
0.000,-1.121,1.747,-3.796
0.000,-1.111,1.747,-3.808
0.000,-1.101,1.747,-3.819
0.000,-1.091,1.746,-3.829
0.000,-1.081,1.746,-3.839
0.000,-1.071,1.746,-3.849
0.000,-1.061,1.745,-3.858
0.000,-1.051,1.745,-3.866
0.000,-1.041,1.744,-3.874
0.000,-1.031,1.744,-3.882
0.000,-1.021,1.743,-3.889
0.000,-1.011,1.743,-3.895
0.000,-1.001,1.742,-3.901
0.000,-0.991,1.741,-3.906
0.000,-0.981,1.740,-3.910
0.000,-0.971,1.740,-3.915
0.000,-0.961,1.739,-3.918
0.000,-0.951,1.737,-3.922
0.000,-0.941,1.736,-3.924
0.000,-0.931,1.735,-3.927
0.000,-0.921,1.734,-3.929
0.000,-0.911,1.732,-3.931
0.000,-0.901,1.731,-3.932
0.000,-0.891,1.729,-3.933
0.000,-0.881,1.727,-3.934
0.000,-0.871,1.725,-3.934
0.000,-0.861,1.723,-3.935
0.000,-0.851,1.721,-3.935
0.000,-0.841,1.718,-3.935
0.000,-0.831,1.715,-3.935
0.000,-0.821,1.713,-3.936
0.000,-0.811,1.710,-3.936
0.000,-0.801,1.706,-3.936
0.000,-0.791,1.703,-3.936
0.000,-0.781,1.699,-3.936
0.000,-0.771,1.695,-3.936
0.000,-0.761,1.691,-3.936
0.000,-0.751,1.686,-3.936
0.000,-0.741,1.681,-3.935
0.000,-0.731,1.676,-3.935
0.000,-0.721,1.671,-3.935
0.000,-0.711,1.665,-3.935
0.000,-0.701,1.659,-3.934
